channel,date,members,name,popularity,rank,score
TV,Summer 2019,"684,050",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,#228,#2809,7.23
TV,Winter 2016,"647,001",Hai to Gensou no Grimgar,#242,#1199,7.66
TV,Winter 1996,"447,902",Rurouni Kenshin: Meiji Kenkaku Romantan,#403,#236,8.30
Movie,,"781,917",Neon Genesis Evangelion: The End of Evangelion,#175,#93,8.55
TV,Summer 1998,"627,204",Serial Experiments Lain,#259,#487,8.07
TV,Summer 2011,"277,585",Mawaru Penguindrum,#701,#614,7.96
ONA,,"952,810",Devilman: Crybaby,#123,#934,7.77
Movie,,"558,861",Perfect Blue,#315,#106,8.52
Movie,,"120,455",FLCL Progressive,#1490,#7026,6.38
TV,Fall 2022,"70,461",Uzumaki,#2167,N/A,
Movie,,"86,418",FLCL Alternative,#1918,#6184,6.53
TV,Winter 2000,"114,897",Boogiepop wa Warawanai,#1553,#3210,7.15
ONA,,"37,087",Nihon Animator Mihonichi,#3112,#2234,7.35
OVA,,"119,821",Tenshi no Tamago,#1494,#1096,7.70
TV,Summer 2013,"96,565",Yami Shibai,#1778,#3900,7.01
TV,Summer 2021,"88,160",Higurashi no Naku Koro ni Sotsu,#1885,#4928,6.77
Movie,,"35,081",Kanashimi no Belladonna,#3207,#3391,7.12
Movie,,"45,404",Shoujo Kakumei Utena: Adolescence Mokushiroku,#2773,#1296,7.62
TV,Summer 2017,"23,546",Yami Shibai 5,#3903,#7433,6.30
TV,Summer 2014,"44,636",Yami Shibai 2,#2796,#6366,6.50
TV,Winter 2017,"26,306",Yami Shibai 4,#3708,#9888,5.77
Special,,"22,291",Poputepipikku TV Special,#4006,#2264,7.34
Movie,,"19,367",Inaka Isha,#4248,#5384,6.68
ONA,,"33,101",Puparia,#3313,#1280,7.63
TV,Winter 2016,"33,937",Yami Shibai 3,#3273,#7321,6.32
Movie,,"34,781",Genius Party,#3224,#3119,7.17
TV,Summer 2019,"17,450",Yami Shibai 7,#4457,#9128,5.97
Movie,,"15,281",Nami,#4695,#12603,2.25
TV,Summer 2018,"18,866",Yami Shibai 6,#4317,#8226,6.15
OVA,,"18,742",Utsu Musume Sayuri,#4324,#12605,1.98
Movie,,"18,358",Genius Party Beyond,#4362,#2990,7.20
Movie,,"12,296",1001 Nights,#5130,#7437,6.30
Movie,,"9,850",Re:cycle of the Penguindrum,#5587,#13808,
Movie,,"16,743",Kaze no Na wa Amnesia,#4538,#7234,6.34
Special,,"11,265",Tsukuyomi: Moon Phase Special,#5289,#5659,6.63
OVA,,"9,731",Koroshiya 1 The Animation: Episode 0,#5613,#10409,5.63
TV,Winter 2021,"12,338",Yami Shibai 8,#5125,#9998,5.74
Movie,,"9,080",00:08,#5790,#12142,4.86
TV,,"13,817",FLCL: Grunge,#4879,N/A,
TV,Summer 2021,"9,251",Yami Shibai 9,#5732,#9674,5.82
Movie,,"8,822",Tamala 2010: A Punk Cat in Space,#5865,#9028,5.98
Movie,,"7,805",Acchi wa Kocchi,#6146,#4171,6.93
ONA,,"8,358",Kikumana,#5989,#10117,5.71
TV,Winter 2000,"8,757",Popee the Performer,#5877,#2759,7.24
Movie,,"7,495",Atama Yama,#6263,#6914,6.40
,,"6,239",Agitated Screams of Maggots,#6719,#12510,4.17
TV,Winter 2022,"6,023",Yami Shibai 10,#6823,#8675,6.06
OVA,,"5,020",Kago Shintarou Anime Sakuhin Shuu,#7343,#12136,4.87
,,"4,841",Noisy Birth,#7470,#12288,4.71
,,"4,418",Extra,#7732,#9185,5.95
,,"4,408",Bacterial Contamination,#7739,#9073,5.97
,,"4,390",Airy Me,#7747,#7354,6.31
OVA,,"4,211",Ryokunohara Meikyuu,#7865,#11934,5.03
Movie,,"4,204",Yukidoke,#7879,#12538,3.88
OVA,,"7,272",Gosenzo-sama Banbanzai!,#6328,#2612,7.27
Movie,,"3,878",Ningen Doubutsuen,#8104,#12596,2.76
Movie,,"3,998",Mochibei,#8020,#12594,2.98
Movie,,"3,830",Ai,#8132,#12506,4.20
OVA,,"3,864",Tobira wo Akete (1995),#8113,#8929,6.01
OVA,,"3,728",Seisai,#8190,N/A,5.30
,,"3,591",Survival,#8294,#8031,6.18
Movie,,"3,558",Midori-ko,#8314,#8821,6.03
,,"4,178",Connected,#7901,#9182,5.95
OVA,,"3,248",X Densha de Ikou,#8543,#9997,5.74
OVA,,"3,124",The Chocolate Panic Picture Show,#8638,#12462,4.36
,,"3,535",Sayonara Gokko,#8331,#3280,7.14
TV,,"3,466",FLCL: Shoegaze,#8393,N/A,
Special,,"2,954",Gun x Sword-san,#8796,#10187,5.69
Special,,"2,520",Bobunemimimmi Specials,#9207,#9942,5.75
Movie,,"2,798",Nido to Mezamenu Komori Uta,#8945,#10477,5.61
Movie,,"2,506",Watashi no Kao,#9221,#12516,4.14
ONA,,"2,468",Born by Myself,#9259,#12585,3.16
ONA,,"2,443",Children,#9283,#9346,5.91
Movie,,"2,343",Kiseichuu no Ichiya,#9400,#11866,5.08
Movie,,"2,344",Gondora,#9399,#12523,4.11
Movie,,"2,332",Aos,#9414,#12558,3.62
Special,,"2,312",2005-nen Uchuu no Tabi,#9434,#12435,4.47
Movie,,"2,332",Adventures in Beauty Wonderland,#9416,#12528,4.05
Movie,,"2,226",Alexander Senki Movie,#9539,#9526,5.86
Movie,,"2,256",Wonder (Movie),#9511,#8745,6.05
Movie,,"2,170",Crazy for It,#9603,#9320,5.92
Movie,,"2,051",Aki no Puzzle,#9760,#12601,2.43
Movie,,"1,984",Alice in Dreamland,#9856,#12037,4.96
Movie,,"1,824",Tokyo Loop,#10091,#11789,5.13
Movie,,"1,970",Fetish Doll,#9877,#12590,3.09
Movie,,"1,803",Yubi wo Nusunda Onna,#10128,#9807,5.79
Movie,,"1,669",Usagi ga Kowai,#10340,#12413,4.52
Movie,,"1,779",Baka Baka Baka na Sekai,#10163,#12496,4.23
ONA,,"2,168",◯,#9608,#12546,3.80
Movie,,"1,660",Yoru no Okite,#10351,#12536,3.91
Movie,,"1,665",Heya,#10342,#12534,3.92
ONA,,"1,653",The Embryo Develops into a Fetus,#10368,#12544,3.84
Movie,,"1,647",Shinsatsushitsu,#10382,#12432,4.47
Special,,"1,615",Toki no Kousa,#10419,#9212,5.95
Movie,,"1,779",3-tsu no Kumo,#10165,#12283,4.71
TV,Winter 2018,"452,437",Citrus,#397,#6502,6.47
TV,Summer 2011,"314,636",Yuru Yuri,#603,#1404,7.58
TV,Fall 2009,"263,922",Kämpfer,#745,#6972,6.39
TV,Fall 2018,"281,572",Yagate Kimi ni Naru,#692,#706,7.91
TV,Winter 2014,"241,517",Sakura Trick,#809,#3983,6.98
TV,Spring 2014,"249,320",Akuma no Riddle,#786,#5733,6.61
TV,Summer 2012,"169,696",Yuru Yuri♪♪,#1131,#839,7.83
TV,Winter 2019,"175,599",Watashi ni Tenshi ga Maiorita!,#1093,#2438,7.31
TV,Winter 2009,"163,842",Maria†Holic,#1177,#3811,7.02
TV,Winter 2008,"169,103",Mnemosyne: Mnemosyne no Musume-tachi,#1138,#2563,7.28
TV,Summer 2018,"253,975",Happy Sugar Life,#770,#4697,6.82
TV,Fall 2020,"157,492",Adachi to Shimamura,#1221,#3400,7.11
TV,Spring 2006,"129,585",Strawberry Panic,#1417,#2551,7.29
TV,Fall 2017,"136,146",Konohana Kitan,#1363,#1619,7.52
TV,Summer 2017,"142,842",Netsuzou TRap,#1324,#11275,5.35
TV,Fall 2004,"108,656",Mai-HiME,#1624,#1917,7.43
TV,Fall 2015,"124,445",Valkyrie Drive: Mermaid,#1462,#8673,6.06
TV,Fall 2015,"113,662",Yuru Yuri San☆Hai!,#1569,#668,7.93
TV,Winter 2021,"101,036",Urasekai Picnic,#1730,#5906,6.58
TV,Winter 2015,"94,098",Yuri Kuma Arashi,#1808,#3722,7.05
TV,Fall 2018,"107,442",Uchi no Maid ga Uzasugiru!,#1641,#4314,6.91
TV,Fall 2015,"93,473",Hidan no Aria AA,#1814,#7898,6.21
OVA,,"89,932",Asagao to Kase-san.,#1865,#1018,7.73
TV,Summer 2009,"91,151",Aoi Hana,#1851,#3381,7.12
TV,Spring 2015,"84,017",Mikagura Gakuen Kumikyoku (TV),#1953,#5336,6.69
TV,Spring 2014,"72,340",Inugami-san to Nekoyama-san,#2128,#6156,6.54
OVA,,"67,470",Yuru Yuri Nachuyachumi!,#2239,#771,7.86
TV,Fall 2009,"67,716",Sasameki Koto,#2231,#3609,7.07
ONA,,"70,277",Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,#2175,#4787,6.80
TV,Fall 2018,"93,493",Tonari no Kyuuketsuki-san,#1813,#3519,7.09
TV,Fall 2004,"65,682",Kannazuki no Miko,#2271,#4705,6.82
TV,Spring 2011,"61,669",Maria†Holic Alive,#2353,#4031,6.97
TV,Winter 2004,"61,009",Maria-sama ga Miteru,#2367,#2420,7.31
Special,,"50,505",Yuru Yuri Nachuyachumi!+,#2631,#915,7.78
TV,Spring 2018,"60,080",Tachibanakan Triangle,#2393,#10493,5.60
Special,,"57,281",Kämpfer für die Liebe,#2462,#6595,6.46
OVA,,"49,661",Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,#2661,N/A,7.24
Movie,,"45,404",Shoujo Kakumei Utena: Adolescence Mokushiroku,#2773,#1296,7.62
TV,Winter 2006,"46,943",Kashimashi: Girl Meets Girl,#2737,#5608,6.64
TV,Spring 2006,"39,379",Simoun,#3011,#1874,7.44
OVA,,"39,281",Kuttsukiboshi,#3015,#8795,6.04
Special,,"37,324",Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,#3102,#6277,6.51
TV,Summer 2009,"36,555",Kanamemo,#3129,#4525,6.86
TV,Winter 2020,"36,506",Oshi ga Budoukan Ittekuretara Shinu,#3132,#1919,7.43
OVA,,"36,463",Kimi no Hikari: Asagao to Kase-san.,#3135,#2722,7.25
OVA,,"31,537",Discipline,#3389,N/A,6.82
ONA,,"29,919",Candy☆Boy: Side Story For Archive,#3482,#4789,6.80
Movie,,"36,227",Fragtime,#3143,#6032,6.56
TV,Winter 2012,"29,547",Gokujo.: Gokurakuin Joshikou Ryou Monogatari,#3503,#8175,6.16
OVA,,"29,520",Shoujo Sect,#3510,N/A,6.67
TV,Summer 1991,"38,567",Oniisama e...,#3050,#842,7.82
TV,Fall 2003,"27,762",Yami to Boushi to Hon no Tabibito,#3616,#6133,6.54
OVA,,"26,795","Yuru Yuri,",#3678,#1133,7.69
Special,,"26,655",Watashi ni Tenshi ga Maiorita! Special,#3683,#2559,7.29
OVA,,"26,179",Futa-bu!,#3711,N/A,7.12
OVA,,"25,934",Re: Cutey Honey,#3726,#3436,7.11
Special,,"22,696",Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron,#3977,#5009,6.75
TV,Fall 2007,"28,785",Blue Drop: Tenshi-tachi no Gikyoku,#3544,#5288,6.70
TV,Winter 2009,"20,344",Maria-sama ga Miteru 4th,#4158,#943,7.77
OVA,,"20,624",Maria-sama ga Miteru 3rd,#4136,#841,7.82
OVA,,"18,446",Futa-bu!!,#4353,N/A,7.19
OVA,,"25,247",Candy Boy Episode: EX01 - Mirai Yohouzu,#3782,#4820,6.79
Special,,"16,797",Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...,#4532,#4405,6.89
TV,Summer 2004,"25,135",Maria-sama ga Miteru: Haru,#3789,#1217,7.65
OVA,,"15,640",Yuri Seijin Naoko-san,#4648,#9724,5.81
Special,,"14,750",Inugami-san to Nekoyama-san: Nekoyama-san to Onsen Ryokou,#4756,#6624,6.45
Special,,"17,681",Valkyrie Drive: Mermaid Specials,#4430,#8254,6.14
OVA,,"14,534",Kashimashi: Girl Meets Girl - Shoujo wa Shoujo ni Koi wo Shita,#4786,#4905,6.78
OVA,,"12,510",Yuri Seijin Naoko-san (2012),#5091,#6692,6.44
OVA,,"13,966",Futa-bu! Mix: Futanari World,#4860,N/A,6.68
ONA,,"11,333",Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,#5278,#6216,6.53
ONA,,"15,429",Kanamewo,#4678,#5828,6.60
Movie,,"17,450",Dounika Naru Hibi,#4459,#11099,5.42
OVA,,"11,280",Fushigi no Kuni no Miyuki-chan,#5287,#10268,5.67
Movie,,"10,135",Watashi ni Tenshi ga Maiorita! Precious Friends,#5518,N/A,
OVA,,"9,982",Honoo no Haramase Tenkousei,#5556,N/A,6.68
OVA,,"10,762",Nikutai Ten'i,#5391,N/A,6.28
TV,Spring 2001,"11,262",Koutetsu Tenshi Kurumi 2,#5290,#7573,6.28
ONA,,"9,226",Mini Yuri,#5741,#5069,6.74
Special,,"8,101",Maria-sama ga Miteru: Haru Specials,#6064,#2533,7.29
OVA,,"8,090",Ice,#6066,#11425,5.29
Special,,"8,940",Maria-sama ga Miteru Specials,#5827,#2323,7.33
OVA,,"7,895",Honoo no Haramase Doukyuusei,#6118,N/A,6.62
ONA,,"6,944",Sono Hanabira ni Kuchizuke wo: Risa x Miya Gekijou,#6440,#7648,6.26
OVA,,"7,194",G-Taste,#6350,N/A,5.84
OVA,,"6,427",Choukou Sennin Haruka,#6646,N/A,6.02
OVA,,"6,934",Cream Lemon,#6443,N/A,6.19
OVA,,"5,909",Star☆Jewel,#6870,N/A,6.43
Special,,"5,243",Gokujo.: Souda Onsen ni Ikou!!,#7187,#9248,5.94
OVA,,"5,242",Nageki no Kenkou Yuuryouji,#7186,N/A,6.17
OVA,,"5,151",Hen,#7251,#11804,5.12
OVA,,"5,228",Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,#7196,N/A,6.01
OVA,,"4,874",Stainless Night,#7450,N/A,6.07
OVA,,"4,907",Inko,#7420,N/A,5.62
OVA,,"5,141",Onmyouji Ayakashi no Megami: Inran Jubaku,#7259,N/A,5.83
OVA,,"3,635",Houkago Mania Club: Koi no Hoshii no,#8269,N/A,5.19
,,"3,322",Tai-Ari deshita.: Ojou-sama wa Kakutou Game nante Shinai,#8481,N/A,
OVA,,"3,882",G-Taste (2010),#8102,#11635,5.20
Movie,,"2,341,511",Kimi no Na wa.,#11,#24,8.87
TV,Spring 2013,"3,402,217",Shingeki no Kyojin,#1,#105,8.53
TV,Spring 2009,"2,868,627",Fullmetal Alchemist: Brotherhood,#3,#1,9.14
OVA,,"3,961",Bakuhatsu Sunzen!! Tenshi no Countdown,#8040,N/A,5.43
TV,Spring 2011,"2,226,283",Steins;Gate,#13,#5,9.08
OVA,,"3,629",Mitama: Nin,#8276,N/A,5.70
TV,Spring 2017,"2,299,162",Shingeki no Kyojin Season 2,#12,#118,8.50
TV,Fall 2006,"1,977,111",Code Geass: Hangyaku no Lelouch,#17,#50,8.70
TV,Summer 2018,"1,943,392",Shingeki no Kyojin Season 3,#20,#74,8.62
TV,Fall 2014,"1,923,359",Shigatsu wa Kimi no Uso,#21,#57,8.67
TV,Fall 2008,"1,964,393",Toradora!,#18,#439,8.11
Movie,,"1,950,822",Koe no Katachi,#19,#15,8.96
TV,Spring 2010,"1,891,947",Angel Beats!,#24,#466,8.08
TV,Spring 2016,"1,912,060",Re:Zero kara Hajimeru Isekai Seikatsu,#23,#275,8.25
TV,Spring 2008,"1,559,204",Code Geass: Hangyaku no Lelouch R2,#47,#20,8.91
TV,Winter 2021,"1,571,450",Shingeki no Kyojin: The Final Season,#46,#26,8.85
TV,Fall 1995,"1,539,933",Neon Genesis Evangelion,#50,#201,8.34
TV,Winter 2015,"1,541,558",Death Parade,#48,#354,8.17
TV,Winter 2018,"1,492,979",Violet Evergarden,#51,#58,8.67
TV,Spring 2011,"1,452,006",Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,#56,#208,8.33
TV,Spring 2019,"1,821,617",Shingeki no Kyojin Season 3 Part 2,#31,#3,9.08
TV,Fall 2018,"1,448,722",Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,#57,#252,8.28
TV,Winter 2018,"1,409,392",Darling in the FranXX,#61,#2776,7.24
