name,score,rank,popularity,members,date,channel
1001 Nights,6.3,#7435,#5130,"12,288",NA,Movie
3-gatsu no Lion,8.39,#172,#276,"601,273",Fall 2016,TV
3-gatsu no Lion 2nd Season,8.96,#14,#533,"349,682",Fall 2017,TV
5-toubun no Hanayome,7.68,#1140,#179,"769,985",Winter 2019,TV
Accel World,7.25,#2707,#234,"666,001",Spring 2012,TV
Adachi to Shimamura,7.11,#3400,#1222,"157,446",Fall 2020,TV
Ahiru no Sora,7.29,#2499,#1110,"172,111",Fall 2019,TV
Ajin,7.42,#1953,#334,"532,589",Winter 2016,TV
Ajin,7.42,#1953,#334,"532,589",Winter 2016,TV
Ajin Part 2,7.6,#1349,#734,"267,840",Fall 2016,TV
Akame ga Kill!,7.47,#1748,#28,"1,831,161",Summer 2014,TV
Akame ga Kill!,7.47,#1748,#28,"1,831,161",Summer 2014,TV
Akira,8.16,#365,#212,"721,082",NA,Movie
Akira,8.16,#365,#212,"721,082",NA,Movie
Akuma no Riddle,6.61,#5732,#786,"249,307",Spring 2014,TV
Amaama to Inazuma,7.53,#1562,#690,"281,750",Summer 2016,TV
Angel Beats!,8.08,#466,#24,"1,891,714",Spring 2010,TV
Angel Beats!,8.08,#466,#24,"1,891,714",Spring 2010,TV
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.33,#207,#56,"1,451,804",Spring 2011,TV
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.33,#207,#56,"1,451,804",Spring 2011,TV
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.33,#207,#56,"1,451,804",Spring 2011,TV
Another,7.49,#1691,#52,"1,489,330",Winter 2012,TV
Another,7.49,#1691,#52,"1,489,330",Winter 2012,TV
Another,7.49,#1691,#52,"1,489,330",Winter 2012,TV
Another,7.49,#1691,#52,"1,489,330",Winter 2012,TV
Ansatsu Kyoushitsu,8.1,#443,#35,"1,720,912",Winter 2015,TV
Ansatsu Kyoushitsu,8.1,#443,#35,"1,720,912",Winter 2015,TV
Ansatsu Kyoushitsu 2nd Season,8.51,#110,#84,"1,224,139",Winter 2016,TV
Ao Haru Ride,7.65,#1202,#169,"801,995",Summer 2014,TV
Ao Haru Ride,7.65,#1202,#169,"801,995",Summer 2014,TV
Ao no Exorcist,7.52,#1603,#34,"1,728,704",Spring 2011,TV
Ao no Exorcist,7.52,#1603,#34,"1,728,704",Spring 2011,TV
Ao no Kanata no Four Rhythm,6.66,#5488,#1341,"140,044",Winter 2016,TV
Aoharu x Kikanjuu,7.17,#3100,#944,"206,920",Summer 2015,TV
Aoi Hana,7.12,#3381,#1851,"91,139",Summer 2009,TV
Asagao to Kase-san.,7.73,#1018,#1865,"89,893",NA,OVA
B: The Beginning,7.22,#2872,#620,"305,997",NA,ONA
Baccano!,8.38,#176,#162,"825,160",Summer 2007,TV
Bakemonogatari,8.34,#204,#79,"1,273,045",Summer 2009,TV
Bakemonogatari,8.34,#204,#79,"1,273,045",Summer 2009,TV
Bakemonogatari,8.34,#204,#79,"1,273,045",Summer 2009,TV
Ballroom e Youkoso,8.19,#336,#669,"289,392",Summer 2017,TV
Barakamon,8.39,#173,#282,"595,618",Summer 2014,TV
Bartender,7.35,#2212,#1993,"81,265",Fall 2006,TV
Beastars,7.89,#727,#209,"723,191",Fall 2019,TV
